"","OQ1","OQ2","SN1","SN2","PU1","PU2","PU3","PU4","ATT1","ATT2","ATT3","ATT4","BI1","BI2","BI3","BI4","ASU1","ASU2","CP1","CP2","CP3","CP4","PEU1","PEU2","PEU3","PEU4"
255,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,3,3,3,3,2,3,3,2,2
256,3,3,4,3,4,4,4,3,4,4,3,4,2,3,3,4,3,3,3,4,4,4,4,3,4,4
257,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2
258,3,2,4,4,2,3,3,2,3,2,1,2,2,2,2,2,2,2,3,2,2,2,2,5,5,4
259,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3
260,3,2,4,4,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,3
261,5,5,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2
262,2,2,3,3,2,2,2,2,2,3,2,2,3,2,3,3,2,1,3,4,4,4,1,2,3,3
263,2,3,4,4,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,4,3,3
264,4,4,4,4,2,2,2,2,2,1,1,2,3,3,2,3,3,4,2,1,2,2,2,3,3,3
265,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,5,5,3,4,4,4,4
266,4,2,3,3,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,3,5,5,5,1,3
267,3,2,5,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3
268,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,4,4,4,4,5,3,4,3,3,3,3
269,3,4,5,5,3,3,3,4,5,5,4,5,5,5,4,5,5,4,5,4,3,5,5,5,1,4
270,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3
271,5,4,5,5,4,4,4,4,5,5,5,5,3,4,5,3,3,2,3,1,2,3,5,5,5,5
272,3,2,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,3,4,4,3
273,4,4,4,4,3,2,3,4,3,3,3,3,4,3,2,3,3,1,4,3,3,4,3,4,4,4
274,2,2,1,3,2,1,2,2,2,2,1,1,1,2,3,3,3,1,2,1,1,1,2,1,1,1
275,4,3,4,3,5,4,4,5,3,5,4,5,4,4,3,5,4,3,3,3,4,5,4,3,3,4
276,2,1,3,3,1,1,2,2,3,2,1,2,1,1,1,1,1,3,2,2,3,3,3,3,2,1
277,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3
